id;scene;friendly_name;location;type;x;y;z;renderscene;rendertype;icontype;context;room;game_layout;loc_type;requierements;tooltip
0x03;MM_BENEATH_THE_GRAVEYARD;Chest;MM Beneath The Graveyard Chest;chest;606;476;0;MM_BENEATH_THE_GRAVEYARD;chest;render_type;All;0;all;overworld;Soul of Bad Bats, Soul of Stalchildren (MM), Captain's Hat, Clock (Night 1) / Clock (Night 2) + Bunny Hood (MM) + Hover Boots (MM);Defeat all <b>Bad Bats</b>
0x00;MM_BENEATH_THE_GRAVEYARD;Chest;MM Beneath The Graveyard HP;chest;113;332;0;MM_BENEATH_THE_GRAVEYARD;heart_piece;render_type;All;0;all;overworld;Bomb (MM) / Bombchu (MM) / Blast Mask (MM), Soul of Iron Knuckles (MM), Soul of Stalchildren (MM), Captain's Hat, Clock (Night 2) / Clock (Night 1) + Bunny Hood (MM) + Hover Boots (MM);Defeat the <b>Iron Knuckle</b>
0x0104;MM_BENEATH_THE_GRAVEYARD;Bats 1;MM Beneath The Graveyard Pot Night 1 Bats 1;pot;548;454;0;MM_BENEATH_THE_GRAVEYARD;pot;render_type;All;0;all;overworld;Soul of Stalchildren (MM), Captain's Hat, Clock (Night 1) / Clock (Night 2) + Bunny Hood (MM) + Hover Boots (MM);
0x0105;MM_BENEATH_THE_GRAVEYARD;Bats 2;MM Beneath The Graveyard Pot Night 1 Bats 2;pot;549;494;0;MM_BENEATH_THE_GRAVEYARD;pot;render_type;All;0;all;overworld;Soul of Stalchildren (MM), Captain's Hat, Clock (Night 1) / Clock (Night 2) + Bunny Hood (MM) + Hover Boots (MM);
0x0106;MM_BENEATH_THE_GRAVEYARD;Bats 3;MM Beneath The Graveyard Pot Night 1 Bats 3;pot;647;491;0;MM_BENEATH_THE_GRAVEYARD;pot;render_type;All;0;all;overworld;Soul of Stalchildren (MM), Captain's Hat, Clock (Night 1) / Clock (Night 2) + Bunny Hood (MM) + Hover Boots (MM);
0x0004;MM_BENEATH_THE_GRAVEYARD;Early 1;MM Beneath The Graveyard Pot Night 1 Early 1;pot;430;458;0;MM_BENEATH_THE_GRAVEYARD;pot;render_type;All;0;all;overworld;Soul of Stalchildren (MM), Captain's Hat, Clock (Night 1) / Clock (Night 2) + Bunny Hood (MM) + Hover Boots (MM);
0x0005;MM_BENEATH_THE_GRAVEYARD;Early 2;MM Beneath The Graveyard Pot Night 1 Early 2;pot;435;487;0;MM_BENEATH_THE_GRAVEYARD;pot;render_type;All;0;all;overworld;Soul of Stalchildren (MM), Captain's Hat, Clock (Night 1) / Clock (Night 2) + Bunny Hood (MM) + Hover Boots (MM);
0x0307;MM_BENEATH_THE_GRAVEYARD;After Pit 1;MM Beneath The Graveyard Pot Night 2 After Pit 1;pot;125;85;0;MM_BENEATH_THE_GRAVEYARD;pot;render_type;All;0;all;overworld;Soul of Stalchildren (MM), Captain's Hat, Clock (Night 2) / Clock (Night 1) + Bunny Hood (MM) + Hover Boots (MM);
0x0308;MM_BENEATH_THE_GRAVEYARD;After Pit 2;MM Beneath The Graveyard Pot Night 2 After Pit 2;pot;142;86;0;MM_BENEATH_THE_GRAVEYARD;pot;render_type;All;0;all;overworld;Soul of Stalchildren (MM), Captain's Hat, Clock (Night 2) / Clock (Night 1) + Bunny Hood (MM) + Hover Boots (MM);
0x030b;MM_BENEATH_THE_GRAVEYARD;After Pit 3;MM Beneath The Graveyard Pot Night 2 After Pit 3;pot;115;193;0;MM_BENEATH_THE_GRAVEYARD;pot;render_type;All;0;all;overworld;Soul of Stalchildren (MM), Captain's Hat, Clock (Night 2) / Clock (Night 1) + Bunny Hood (MM) + Hover Boots (MM);
