id;scene;friendly_name;location;type;x;y;z;renderscene;rendertype;icontype;context;room;game_layout;loc_type;requierements;tooltip
0x0002;OOT_BACK_ALLEY_HOUSE;Pot 1;OOT Market Back Alley East House Pot 1;pot;765;483;0;OOT_BACK_ALLEY_HOUSE;pot;render_type;All;0;oot;overworld;;
0x0003;OOT_BACK_ALLEY_HOUSE;Pot 2;OOT Market Back Alley East House Pot 2;pot;442;429;0;OOT_BACK_ALLEY_HOUSE;pot;render_type;All;0;oot;overworld;;
0x0004;OOT_BACK_ALLEY_HOUSE;Pot 3;OOT Market Back Alley East House Pot 3;pot;521;429;0;OOT_BACK_ALLEY_HOUSE;pot;render_type;All;0;oot;overworld;;
DOG_LADY;OOT_BACK_ALLEY_HOUSE2;Dog Lady;OOT Market Dog Lady HP;npc;436;214;0;OOT_BACK_ALLEY_HOUSE2;heart_piece;render_type;All;0;oot;overworld;;
0x00002;OOT_BACK_ALLEY_HOUSE2;Crate;OOT Market Dog Lady Crate;crate;657;105;0;OOT_BACK_ALLEY_HOUSE2;crate;render_type;All;0;oot;overworld;;
0x30;OOT_BAZAAR;Item 1;OOT Kakariko Bazaar Item 1;shop;367;328;0;OOT_KAKARIKO_BAZAAR;shop;render_type;All;0;oot;overworld;;
0x31;OOT_BAZAAR;Item 2;OOT Kakariko Bazaar Item 2;shop;327;290;0;OOT_KAKARIKO_BAZAAR;shop;render_type;All;0;oot;overworld;;
0x32;OOT_BAZAAR;Item 3;OOT Kakariko Bazaar Item 3;shop;367;290;0;OOT_KAKARIKO_BAZAAR;shop;render_type;All;0;oot;overworld;;
0x33;OOT_BAZAAR;Item 4;OOT Kakariko Bazaar Item 4;shop;327;328;0;OOT_KAKARIKO_BAZAAR;shop;render_type;All;0;oot;overworld;;
0x34;OOT_BAZAAR;Item 5;OOT Kakariko Bazaar Item 5;shop;624;290;0;OOT_KAKARIKO_BAZAAR;shop;render_type;All;0;oot;overworld;;
0x35;OOT_BAZAAR;Item 6;OOT Kakariko Bazaar Item 6;shop;664;290;0;OOT_KAKARIKO_BAZAAR;shop;render_type;All;0;oot;overworld;;
0x36;OOT_BAZAAR;Item 7;OOT Kakariko Bazaar Item 7;shop;664;328;0;OOT_KAKARIKO_BAZAAR;shop;render_type;All;0;oot;overworld;;
0x37;OOT_BAZAAR;Item 8;OOT Kakariko Bazaar Item 8;shop;624;328;0;OOT_KAKARIKO_BAZAAR;shop;render_type;All;0;oot;overworld;;
0x20;OOT_BAZAAR;Item 1;OOT Market Bazaar Item 1;shop;367;328;0;OOT_MARKET_BAZAAR;shop;render_type;All;0;oot;overworld;;
0x21;OOT_BAZAAR;Item 2;OOT Market Bazaar Item 2;shop;327;290;0;OOT_MARKET_BAZAAR;shop;render_type;All;0;oot;overworld;;
0x22;OOT_BAZAAR;Item 3;OOT Market Bazaar Item 3;shop;367;290;0;OOT_MARKET_BAZAAR;shop;render_type;All;0;oot;overworld;;
0x23;OOT_BAZAAR;Item 4;OOT Market Bazaar Item 4;shop;327;328;0;OOT_MARKET_BAZAAR;shop;render_type;All;0;oot;overworld;;
0x24;OOT_BAZAAR;Item 5;OOT Market Bazaar Item 5;shop;624;290;0;OOT_MARKET_BAZAAR;shop;render_type;All;0;oot;overworld;;
0x25;OOT_BAZAAR;Item 6;OOT Market Bazaar Item 6;shop;664;290;0;OOT_MARKET_BAZAAR;shop;render_type;All;0;oot;overworld;;
0x26;OOT_BAZAAR;Item 7;OOT Market Bazaar Item 7;shop;664;328;0;OOT_MARKET_BAZAAR;shop;render_type;All;0;oot;overworld;;
0x27;OOT_BAZAAR;Item 8;OOT Market Bazaar Item 8;shop;624;328;0;OOT_MARKET_BAZAAR;shop;render_type;All;0;oot;overworld;;
BOMBCHU_BOWLING_1;OOT_BOMBCHU_BOWLING_ALLEY;Reward 1;OOT Bombchu Bowling Reward 1;npc;816;248;0;OOT_BOMBCHU_BOWLING_ALLEY;heart_piece;render_type;All;0;oot;minigame;;
BOMBCHU_BOWLING_2;OOT_BOMBCHU_BOWLING_ALLEY;Reward 2;OOT Bombchu Bowling Reward 2;npc;743;248;0;OOT_BOMBCHU_BOWLING_ALLEY;npc;biggest_bomb;All;0;oot;minigame;;
